id,url,nombre,precio,precio_por,marca,categoria,imagen
prod860227,https://www.carrefour.es/supermercado/tinte-permanente-sin-amoniaco-6-76-cobrizo-ambar-oleo-intense-syoss-1-ud/R-prod860227/p,Tinte permanente sin amoniaco 6-76 cobrizo ámbar Oleo Intense SYOSS 1 ud.,6.45,6.45 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/386245_00_1.jpg
VC4AECOMM-156775,https://www.carrefour.es/supermercado/coloracion-permanente-sin-amoniaco-formula-vegana-tono-50-castano-cafe-good-garnier-1-ud/R-VC4AECOMM-156775/p,Coloración permanente sin amoniaco fórmula vegana tono 5.0 castaño café Good Garnier 1 ud.,9.95,9.95 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/156775_00_1.jpg
prod860213,https://www.carrefour.es/supermercado/tinte-permanente-sin-amoniaco-8-60-rubio-miel-oleo-intense-syoss-1-ud/R-prod860213/p,Tinte permanente sin amoníaco 8-60 rubio miel Oleo Intense SYOSS 1 ud.,6.45,6.45 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/386256_00_1.jpg
prod860175,https://www.carrefour.es/supermercado/tinte-permanente-sin-amoniaco-10-50-rubio-muy-claro-ceniza-oleo-intense-syoss-1-ud/R-prod860175/p,Tinte permanente sin amoníaco 10-50 rubio muy claro ceniza Oleo Intense SYOSS 1 ud.,6.45,6.45 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/386303_00_1.jpg
521008019,https://www.carrefour.es/supermercado/tinte-de-cabello-permanente-tono-6-rubio-oscuro-llongueras-color-advance-1-ud/R-521008019/p,Tinte de cabello permanente tono 6 rubio oscuro Llongueras Color Advance 1 ud.,7.59,7.59 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/028641_00_1.jpg
VC4AECOMM-482061,https://www.carrefour.es/supermercado/tinte-permanente-sin-amoniaco-n-7u-rubio-universal-excellence-creme-loreal-paris-1-ud/R-VC4AECOMM-482061/p,Tinte permanente sin amoniaco nº 7U rubio universal Excellence Creme L'oreal Paris 1 ud.,10.29,10.29 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/482061_00_1.jpg
521008021,https://www.carrefour.es/supermercado/tinte-de-cabello-permanente-tono-9-rubio-claro-claro-llongueras-color-advance-1-ud/R-521008021/p,Tinte de cabello permanente tono 9 rubio claro claro Llongueras Color Advance 1 ud.,7.59,7.59 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/028650_00_1.jpg
prod860179,https://www.carrefour.es/supermercado/tinte-permanente-sin-amoniaco-8-05-rubio-beige-oleo-intense-syoss-1-ud/R-prod860179/p,Tinte permanente sin amoníaco 8-05 rubio beige Oleo Intense SYOSS 1 ud.,6.45,6.45 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/386307_00_1.jpg
520663559,https://www.carrefour.es/supermercado/tcremeglosscasting834/R-520663559/p,T.CREME.GLOSS.CASTING.834,6.59,6.59 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/684399_00_1.jpg
VC4AECOMM-229688,https://www.carrefour.es/supermercado/tinte-permanente-tono-511-castano-claro-ceniza-intenso-excellence-cool-creme-loreal-paris-1-ud/R-VC4AECOMM-229688/p,Tinte permanente tono 5.11 castaño claro ceniza intenso Excellence Cool Creme L'Oréal Paris 1 ud.,9.69,9.69 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/229688_00_1.jpg
VC4AECOMM-477426,https://www.carrefour.es/supermercado/tinte-permanente-n-50-castano-claro-naturals-color-cream-palette-schwarzkopf-1-ud/R-VC4AECOMM-477426/p,Tinte permanente nº 5.0 castaño claro Naturals Color Cream Palette Schwarzkopf 1 ud.,5.19,5.19 €/ud,,Tinte,https://static.carrefour.es/hd_350x_/img_pim_food/477426_00_1.jpg
